heart,temp,spo2,status
91,39.3,99,ALERT
129,38.7,93,ALERT
112,39.3,93,ALERT
103,38.2,99,ALERT
115,37.2,90,ALERT
125,37.6,96,ALERT
110,37.6,92,NORMAL
98,38.3,93,ALERT
121,37.8,99,ALERT
109,36.7,88,ALERT
82,38.6,100,ALERT
128,38.8,96,ALERT
118,36.8,95,ALERT
83,37.7,88,ALERT
82,37.5,90,ALERT
88,36.5,89,ALERT
90,39.3,89,ALERT
99,37.5,89,ALERT
88,38.1,96,ALERT
125,39.5,94,ALERT
62,37.8,89,ALERT
92,37.0,89,ALERT
129,39.0,100,ALERT
122,39.0,94,ALERT
107,36.9,96,NORMAL
73,36.9,95,NORMAL
72,39.2,90,ALERT
65,36.5,100,NORMAL
101,37.1,99,NORMAL
70,37.7,91,ALERT
99,38.9,92,ALERT
125,37.8,100,ALERT
114,37.8,95,ALERT
108,38.0,98,NORMAL
103,36.1,98,NORMAL
96,36.6,98,NORMAL
60,39.4,90,ALERT
86,38.4,93,ALERT
78,37.8,96,NORMAL
70,37.4,92,NORMAL
105,38.9,88,ALERT
115,37.1,99,ALERT
110,37.0,90,ALERT
115,37.8,89,ALERT
73,36.5,95,NORMAL
85,36.7,90,ALERT
71,38.5,100,ALERT
100,38.2,99,ALERT
99,37.0,96,NORMAL
94,36.9,100,NORMAL
90,36.2,93,NORMAL
88,39.4,90,ALERT
64,36.7,92,NORMAL
72,37.7,93,NORMAL
72,37.0,90,ALERT
90,38.9,88,ALERT
103,39.2,94,ALERT
97,38.7,89,ALERT
110,38.3,98,ALERT
128,38.1,93,ALERT
73,38.7,99,ALERT
91,39.4,96,ALERT
74,39.2,89,ALERT
104,37.9,100,NORMAL
128,39.4,89,ALERT
125,38.9,94,ALERT
75,37.1,99,NORMAL
